accuracy,loss,val_accuracy,val_loss
0.6129687428474426,0.6450546979904175,0.9643750190734863,0.3629192113876343
0.9662500023841858,0.26273995637893677,0.965624988079071,0.19512957334518433
0.9662500023841858,0.1743917465209961,0.965624988079071,0.15748557448387146
0.9662500023841858,0.14924025535583496,0.965624988079071,0.1426507532596588
0.9662500023841858,0.1357400119304657,0.965624988079071,0.1325264573097229
0.9662500023841858,0.1254684329032898,0.965624988079071,0.12461909651756287
0.9662500023841858,0.11713907867670059,0.965624988079071,0.11759614944458008
0.9667187333106995,0.11025704443454742,0.9668750166893005,0.11209868639707565
0.9676562547683716,0.10465557873249054,0.9668750166893005,0.1077181026339531
0.9692187309265137,0.10075578838586807,0.9681249856948853,0.10425786674022675
0.9706249833106995,0.09752079844474792,0.9693750143051147,0.10186703503131866
0.9712499976158142,0.09501948952674866,0.9700000286102295,0.10007309168577194
0.9706249833106995,0.09324295818805695,0.9700000286102295,0.09871261566877365
0.9710937738418579,0.09196621924638748,0.9700000286102295,0.09776874631643295
0.97265625,0.09061064571142197,0.9700000286102295,0.09697708487510681
0.97265625,0.08958132565021515,0.9700000286102295,0.09637604653835297
0.97265625,0.08868782967329025,0.9706249833106995,0.09573355317115784
0.9731249809265137,0.08792546391487122,0.9693750143051147,0.09532976150512695
0.9739062786102295,0.08719341456890106,0.9700000286102295,0.09538057446479797
0.9739062786102295,0.08629172295331955,0.9700000286102295,0.09418603032827377
0.973437488079071,0.0858074277639389,0.971875011920929,0.09461665153503418
0.9731249809265137,0.08531135320663452,0.9737499952316284,0.0934370905160904
0.9737499952316284,0.08465398848056793,0.9731249809265137,0.0930299311876297
0.9729687571525574,0.08448676764965057,0.971875011920929,0.09277874231338501
0.9742187261581421,0.08386837691068649,0.9706249833106995,0.09238734841346741
0.9740625023841858,0.08275637030601501,0.9725000262260437,0.09228114783763885
0.9737499952316284,0.08217693120241165,0.9706249833106995,0.09182573109865189
0.9742187261581421,0.08140024542808533,0.971875011920929,0.09066686034202576
0.9742187261581421,0.08083027601242065,0.9712499976158142,0.09062600135803223
0.9742187261581421,0.08032913506031036,0.9712499976158142,0.08993907272815704
0.9743750095367432,0.07964210212230682,0.971875011920929,0.08932998776435852
0.9745312333106995,0.07900438457727432,0.971875011920929,0.08878274261951447
0.9745312333106995,0.07832343131303787,0.9731249809265137,0.08754788339138031
0.9748437404632568,0.07755148410797119,0.971875011920929,0.0867895856499672
0.9740625023841858,0.07688446342945099,0.9731249809265137,0.08574236184358597
0.9753124713897705,0.07630087435245514,0.9731249809265137,0.0854828953742981
0.9753124713897705,0.0750487744808197,0.9712499976158142,0.08514193445444107
0.9748437404632568,0.07548397034406662,0.9731249809265137,0.08418983221054077
0.9748437404632568,0.07466916739940643,0.971875011920929,0.08405433595180511
0.9753124713897705,0.0742606446146965,0.9737499952316284,0.08281779289245605
0.9748437404632568,0.07377550005912781,0.9750000238418579,0.08247202634811401
0.9754687547683716,0.07318910211324692,0.9731249809265137,0.0830322653055191
0.9756249785423279,0.07263876497745514,0.9725000262260437,0.08190444856882095
0.9754687547683716,0.07241424173116684,0.9750000238418579,0.08119756728410721
0.9760937690734863,0.07203210890293121,0.9762499928474426,0.08008633553981781
0.975781261920929,0.07168669253587723,0.9750000238418579,0.08055290579795837
0.9759374856948853,0.07161714881658554,0.9743750095367432,0.0798262283205986
0.9768750071525574,0.07122307270765305,0.9750000238418579,0.07921581715345383
0.9767187237739563,0.07074154168367386,0.9762499928474426,0.07984700798988342
0.9762499928474426,0.07050196826457977,0.9756249785423279,0.07898861169815063
0.9767187237739563,0.07013681530952454,0.9750000238418579,0.07809275388717651
0.9765625,0.06973221153020859,0.9731249809265137,0.07880818843841553
0.9767187237739563,0.06945452839136124,0.9750000238418579,0.07821197062730789
0.9765625,0.06927195191383362,0.9737499952316284,0.07805818319320679
0.9770312309265137,0.06923463195562363,0.9762499928474426,0.07694768160581589
0.9779687523841858,0.06861896067857742,0.9743750095367432,0.07718369364738464
0.9768750071525574,0.06858266890048981,0.9793750047683716,0.07628165930509567
0.9775000214576721,0.06840458512306213,0.9775000214576721,0.07558383047580719
0.9785937666893005,0.06790871918201447,0.9756249785423279,0.07559584826231003
0.9775000214576721,0.06771709024906158,0.9756249785423279,0.0759669691324234
0.9779687523841858,0.06757774204015732,0.9762499928474426,0.07509442418813705
0.9770312309265137,0.06725949048995972,0.9775000214576721,0.07500918954610825
0.9775000214576721,0.06715746223926544,0.9762499928474426,0.07425002753734589
0.9781249761581421,0.06656522303819656,0.9750000238418579,0.07504744827747345
0.9787499904632568,0.06677520275115967,0.9768750071525574,0.07328514754772186
0.9775000214576721,0.06637991219758987,0.9768750071525574,0.07405170798301697
